frame,label,raw_label,confidence,margin,reference_similarity,reference_threshold,reject_reason
3006ICT_group_project_webots/textures/distractors/banana_a.png,NO_MATCH,backpack,0.3482738733291626,0.05630701780319214,0.06055639153085446,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/banana_b.png,NO_MATCH,coffee_mug,0.4481247663497925,0.22172224521636963,0.037074762564177056,0.1,below_min_confidence
3006ICT_group_project_webots/textures/distractors/books_a.png,fire_extinguisher,fire_extinguisher,0.8534561991691589,0.8107560239732265,0.16662213310077775,-0.05,
3006ICT_group_project_webots/textures/distractors/books_b.png,NO_MATCH,fire_extinguisher,0.42403048276901245,0.11866438388824463,0.17202392628641858,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/chair_a.png,NO_MATCH,coffee_mug,0.4125828444957733,0.08622187376022339,0.04065638657423343,0.1,below_min_confidence
3006ICT_group_project_webots/textures/distractors/chair_b.png,NO_MATCH,coffee_mug,0.4423266351222992,0.28255191445350647,0.050388621920903834,0.1,below_min_confidence
3006ICT_group_project_webots/textures/distractors/keyboard_a.png,NO_MATCH,coffee_mug,0.36588624119758606,0.18865323066711426,0.07943382846715222,0.1,below_min_confidence
3006ICT_group_project_webots/textures/distractors/keyboard_b.png,NO_MATCH,coffee_mug,0.5434096455574036,0.25826457142829895,0.09177412147859038,0.1,below_reference_similarity
3006ICT_group_project_webots/textures/distractors/landscape_a.png,NO_MATCH,headphones,0.20825688540935516,0.054342612624168396,0.19625565347042961,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/monitor_a.png,NO_MATCH,backpack,0.26003190875053406,0.015322595834732056,0.2785202600333406,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/monitor_b.png,NO_MATCH,backpack,0.22371059656143188,0.029623284935951233,0.39814396390635126,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/plant_a.png,NO_MATCH,headphones,0.23165637254714966,0.01762789487838745,0.17413151146868247,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/plant_b.png,NO_MATCH,camera,0.31755146384239197,0.1638142615556717,0.300898543317336,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/soccer_ball_a.png,NO_MATCH,coffee_mug,0.7492393851280212,0.6347693651914597,0.057993434792002384,0.1,below_reference_similarity
3006ICT_group_project_webots/textures/distractors/soccer_ball_b.png,NO_MATCH,wall_clock,0.5547036528587341,0.3542962670326233,-0.01770734632616587,0.0,below_reference_similarity
3006ICT_group_project_webots/textures/distractors/teddy_bear_a.png,NO_MATCH,wall_clock,0.45364585518836975,0.10000306367874146,-0.013935958257266068,0.0,below_min_confidence
3006ICT_group_project_webots/textures/distractors/teddy_bear_b.png,NO_MATCH,wall_clock,0.48308178782463074,0.23264271020889282,-0.008116489626827178,0.0,below_min_confidence
3006ICT_group_project_webots/textures/distractors/toaster_a.png,NO_MATCH,headphones,0.4394654631614685,0.184355229139328,0.19150991997110106,-0.05,below_min_confidence
3006ICT_group_project_webots/textures/distractors/toaster_b.png,NO_MATCH,coffee_mug,0.3145776093006134,0.12501226365566254,0.10847819962241642,0.1,below_min_confidence
3006ICT_group_project_webots/textures/distractors/umbrella_b.png,NO_MATCH,coffee_mug,0.47990626096725464,0.19455349445343018,0.16993484984075688,0.1,below_min_confidence
